company_name,symbol,revenue_cagr,pat_growth,eps_growth,roce,cash_flow,promoter_holding
20 Microns Limited,20MICRONS,,,,,,
21st Century Management Services Limited,21STCENMGM,,,,,,
360 ONE WAM LIMITED,360ONE,,,,,,
3B Blackbio Dx Limited,3BBLACKBIO,,,,,,
3i Infotech Limited,3IINFOLTD,,,,,,
3M India Limited,3MINDIA,,,,,,
3P Land Holdings Limited,3PLAND,,,,,,
5Paisa Capital Limited,5PAISA,,,,,,
63 moons technologies limited,63MOONS,,,,,,
A2Z Infra Engineering Limited,A2ZINFRA,,,,,,
AAA Technologies Limited,AAATECH,,,,,,
Aadhar Housing Finance Limited,AADHARHFC,,,,,,
Aakash Exploration Services Limited,AAKASH,,,,,,
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,,,,,,
Aarnav Fashions Limited,AARNAV,,,,,,
Aaron Industries Limited,AARON,,,,,,
Aartech Solonics Limited,AARTECH,,,,,,
Aarti Drugs Limited,AARTIDRUGS,,,,,,
Aarti Industries Limited,AARTIIND,,,,,,
Aarti Pharmalabs Limited,AARTIPHARM,,,,,,
Aarti Surfactants Limited,AARTISURF,,,,,,
Aarvi Encon Limited,AARVI,,,,,,
Aavas Financiers Limited,AAVAS,,,,,,
Abans Enterprises Limited,ABANSENT,,,,,,
ABB India Limited,ABB,,,,,,
Abbott India Limited,ABBOTINDIA,,,,,,
Aditya Birla Capital Limited,ABCAPITAL,,,,,,
A B Cotspin India Limited,ABCOTS,,,,,,
Allied Blenders and Distillers Limited,ABDL,,,,,,
Aditya Birla Fashion and Retail Limited,ABFRL,,,,,,
A B Infrabuild Limited,ABINFRA,,,,,,
Aditya Birla Lifestyle Brands Limited,ABLBL,,,,,,
ABM International Limited,ABMINTLLTD,,,,,,
ABM Knowledgeware Limited,ABMKNO,,,,,,
Aditya Birla Real Estate Limited,ABREL,,,,,,
Aditya Birla Sun Life AMC Limited,ABSLAMC,,,,,,
ACC Limited,ACC,,,,,,
Accelya Solutions India Limited,ACCELYA,,,,,,
Accuracy Shipping Limited,ACCURACY,,,,,,
Action Construction Equipment Limited,ACE,,,,,,
